напляжение фаза 1, В	-1.300000
напляжение фаза 2, В	1.000000
количество точек фаза 1	200
количество точек фаза 2	200
длительность импульсов, us	10000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	17

номер точки	напряжение, В 	ток, А
222	0.206362	0.000001
223	0.216523	0.000001
224	0.226765	0.000000
225	0.236121	0.000002
226	0.246362	0.000001
227	0.256362	0.000001
228	0.266362	0.000002
229	0.277006	0.000001
230	0.286040	0.000002
231	0.296443	0.000002
232	0.306604	0.000003
233	0.316040	0.000003
234	0.326443	0.000004
235	0.336765	0.000004
236	0.346362	0.000005
237	0.356201	0.000003
238	0.366684	0.000003
239	0.376362	0.000005
240	0.386604	0.000003
241	0.396684	0.000006
242	0.406523	0.000005
243	0.416282	0.000010
244	0.426201	0.000010
245	0.435718	0.000011
246	0.445879	0.000010
247	0.456282	0.000009
248	0.465315	0.000023
249	0.474752	0.000020
250	0.485235	0.000023
251	0.494913	0.000024
252	0.505074	0.000024
253	0.514269	0.000035
254	0.525315	0.000019
255	0.534752	0.000021
256	0.544993	0.000023
257	0.554913	0.000026
258	0.564510	0.000029
259	0.575074	0.000026
260	0.584913	0.000025
261	0.594269	0.000035
262	0.604108	0.000039
263	0.614027	0.000029
264	0.623866	0.000035
265	0.634108	0.000037
266	0.640967	0.000067
267	0.648068	0.000088
268	0.659920	0.000086
269	0.670242	0.000084
270	0.678310	0.000101
271	0.674621	0.000218
272	0.678179	0.000258
273	0.683831	0.000277
274	0.691978	0.000283
275	0.696100	0.000311
276	0.706100	0.000314
277	0.710786	0.000334
278	0.716357	0.000347
279	0.721284	0.000360
280	0.725567	0.000373
281	0.720025	0.000395
282	0.725597	0.000403
283	0.728994	0.000408
284	0.733437	0.000411
285	0.737318	0.000415
286	0.744419	0.000417
287	0.750634	0.000418
288	0.746140	0.000421
289	0.747121	0.000422
290	0.753256	0.000422
291	0.752466	0.000423
292	0.757151	0.000423
293	0.760629	0.000423
294	0.765878	0.000423
295	0.767584	0.000424
296	0.768001	0.000424
297	0.767855	0.000424
298	0.767870	0.000424
299	0.769496	0.000424
300	0.773054	0.000424
301	0.774277	0.000424
302	0.767337	0.000424
303	0.765148	0.000424
304	0.765133	0.000424
305	0.759400	0.000424
306	0.758017	0.000424
307	0.759290	0.000424
308	0.757503	0.000424
309	0.754428	0.000424
310	0.750065	0.000423
311	0.748601	0.000423
312	0.742627	0.000423
313	0.741726	0.000422
314	0.735108	0.000422
315	0.736784	0.000421
316	0.732823	0.000420
317	0.725159	0.000419
318	0.719426	0.000418
319	0.716593	0.000416
320	0.711263	0.000412
321	0.703437	0.000410
322	0.698833	0.000408
323	0.694067	0.000403
324	0.687449	0.000400
325	0.680428	0.000398
326	0.673810	0.000395
327	0.665501	0.000390
328	0.659286	0.000386
329	0.651138	0.000380
330	0.644198	0.000375
331	0.636935	0.000371
332	0.628868	0.000364
333	0.621203	0.000360
334	0.613458	0.000356
335	0.604988	0.000349
336	0.597323	0.000345
337	0.589175	0.000339
338	0.581188	0.000334
339	0.571430	0.000329
340	0.564087	0.000324
341	0.555214	0.000318
342	0.546744	0.000312
343	0.538355	0.000307
344	0.528919	0.000301
345	0.520207	0.000296
346	0.511978	0.000291
347	0.503106	0.000286
348	0.494153	0.000280
349	0.485038	0.000275
350	0.476488	0.000269
351	0.466729	0.000263
352	0.458340	0.000258
353	0.448742	0.000252
354	0.440192	0.000246
355	0.430997	0.000241
356	0.422125	0.000236
357	0.412527	0.000230
358	0.404057	0.000225
359	0.394057	0.000219
360	0.385023	0.000215
361	0.376151	0.000208
362	0.366875	0.000203
363	0.357359	0.000197
364	0.348325	0.000192
365	0.338566	0.000185
366	0.329774	0.000181
367	0.320580	0.000175
368	0.311143	0.000170
369	0.301465	0.000165
370	0.292109	0.000159
371	0.282593	0.000153
372	0.273962	0.000148
373	0.263800	0.000142
374	0.254203	0.000137
375	0.245572	0.000132
376	0.236055	0.000127
377	0.226216	0.000122
378	0.217344	0.000116
379	0.207505	0.000111
380	0.198149	0.000105
381	0.188874	0.000099
382	0.179196	0.000094
383	0.169518	0.000089
384	0.160484	0.000084
385	0.150645	0.000078
386	0.140645	0.000072
387	0.131611	0.000066
388	0.122175	0.000062
389	0.112014	0.000057
390	0.103222	0.000052
391	0.093463	0.000046
392	0.083866	0.000040
393	0.074349	0.000036
394	0.064993	0.000030
395	0.054832	0.000026
396	0.046040	0.000021
397	0.036040	0.000014
398	0.026201	0.000009
399	0.016684	0.000006
400	0.007329	-0.000001
401	-0.002671	-0.000006
402	-0.015349	-0.000014
403	-0.027383	-0.000021
404	-0.039739	-0.000028
405	-0.052739	-0.000034
406	-0.064853	-0.000040
407	-0.077370	-0.000046
408	-0.090128	-0.000053
409	-0.102404	-0.000060
410	-0.115323	-0.000067
411	-0.127598	-0.000075
412	-0.140035	-0.000082
413	-0.152632	-0.000089
414	-0.165310	-0.000095
415	-0.177746	-0.000103
416	-0.190424	-0.000109
417	-0.203344	-0.000116
418	-0.215539	-0.000123
419	-0.228216	-0.000130
420	-0.240653	-0.000138
421	-0.253492	-0.000145
422	-0.266009	-0.000153
423	-0.278284	-0.000160
424	-0.291203	-0.000168
425	-0.303801	-0.000174
426	-0.316318	-0.000182
427	-0.328834	-0.000189
428	-0.341512	-0.000197
429	-0.354271	-0.000205
430	-0.366868	-0.000211
431	-0.379466	-0.000219
432	-0.392063	-0.000227
433	-0.404580	-0.000235
434	-0.417177	-0.000243
435	-0.430177	-0.000251
436	-0.442613	-0.000258
437	-0.454808	-0.000266
438	-0.467728	-0.000275
439	-0.480406	-0.000283
440	-0.493003	-0.000289
441	-0.505681	-0.000299
442	-0.518520	-0.000309
443	-0.530715	-0.000316
444	-0.543473	-0.000325
445	-0.556554	-0.000333
446	-0.568829	-0.000340
447	-0.581426	-0.000348
448	-0.594185	-0.000354
449	-0.606702	-0.000361
450	-0.620587	-0.000377
451	-0.631816	-0.000390
452	-0.643930	-0.000401
453	-0.656930	-0.000406
454	-0.669769	-0.000414
455	-0.682447	-0.000420
456	-0.695125	-0.000428
457	-0.708125	-0.000429
458	-0.721125	-0.000425
459	-0.733642	-0.000438
460	-0.746722	-0.000438
461	-0.759642	-0.000438
462	-0.772803	-0.000436
463	-0.785964	-0.000438
464	-0.798803	-0.000435
465	-0.811883	-0.000432
466	-0.825366	-0.000440
467	-0.837561	-0.000444
468	-0.850239	-0.000448
469	-0.863803	-0.000444
470	-0.876481	-0.000448
471	-0.889481	-0.000446
472	-0.903044	-0.000439
473	-0.915078	-0.000451
474	-0.927917	-0.000459
475	-0.940917	-0.000464
476	-0.953756	-0.000466
477	-0.966273	-0.000471
478	-0.978629	-0.000495
479	-0.991387	-0.000498
480	-1.003743	-0.000520
481	-1.016904	-0.000518
482	-1.028052	-0.000580
483	-1.041052	-0.000576
484	-1.053971	-0.000570
485	-1.066246	-0.000589
486	-1.079891	-0.000574
487	-1.098447	-0.000457
488	-1.110239	-0.000430
489	-1.127024	-0.000351
490	-1.138655	-0.000389
491	-1.153024	-0.000384
492	-1.169889	-0.000277
493	-1.189089	-0.000153
494	-1.203377	-0.000139
495	-1.217988	-0.000116
496	-1.230263	-0.000122
497	-1.242861	-0.000126
498	-1.256424	-0.000122
499	-1.268458	-0.000140
500	-1.280170	-0.000149
501	-1.293411	-0.000120
502	-1.282022	-0.000150
503	-1.269183	-0.000090
504	-1.258196	-0.000091
505	-1.247289	-0.000062
506	-1.232518	-0.000094
507	-1.220243	-0.000084
508	-1.207082	-0.000080
509	-1.193437	-0.000073
510	-1.179954	-0.000077
511	-1.168726	-0.000067
512	-1.155565	-0.000071
513	-1.141760	-0.000093
514	-1.128035	-0.000091
515	-1.114632	-0.000091
516	-1.102437	-0.000068
517	-1.087183	-0.000125
518	-1.076679	-0.000080
519	-1.064001	-0.000075
520	-1.050357	-0.000069
521	-1.038484	-0.000069
522	-1.023954	-0.000085
523	-1.011115	-0.000085
524	-0.998437	-0.000081
525	-0.986887	-0.000047
526	-0.973484	-0.000057
527	-0.960001	-0.000079
528	-0.947323	-0.000070
529	-0.934565	-0.000077
530	-0.921726	-0.000074
531	-0.908565	-0.000073
532	-0.896934	-0.000073
533	-0.882484	-0.000062
534	-0.869243	-0.000054
535	-0.856404	-0.000066
536	-0.844612	-0.000059
537	-0.831612	-0.000046
538	-0.818612	-0.000051
539	-0.805612	-0.000045
540	-0.793095	-0.000039
541	-0.780658	-0.000037
542	-0.767336	-0.000036
543	-0.754658	-0.000033
544	-0.741980	-0.000032
545	-0.728739	-0.000032
546	-0.716061	-0.000030
547	-0.703142	-0.000030
548	-0.689819	-0.000030
549	-0.677142	-0.000028
550	-0.663980	-0.000027
551	-0.651061	-0.000028
552	-0.638222	-0.000027
553	-0.624980	-0.000027
554	-0.612142	-0.000026
555	-0.599142	-0.000025
556	-0.586464	-0.000026
557	-0.573222	-0.000025
558	-0.559980	-0.000024
559	-0.547544	-0.000024
560	-0.534383	-0.000023
561	-0.521303	-0.000024
562	-0.508544	-0.000023
563	-0.495464	-0.000023
564	-0.482303	-0.000022
565	-0.469705	-0.000022
566	-0.456544	-0.000021
567	-0.443383	-0.000021
568	-0.430625	-0.000020
569	-0.417464	-0.000019
570	-0.404625	-0.000019
571	-0.391947	-0.000018
572	-0.378625	-0.000018
573	-0.365947	-0.000017
574	-0.353188	-0.000016
575	-0.339947	-0.000014
576	-0.326866	-0.000015
577	-0.314027	-0.000014
578	-0.301108	-0.000015
579	-0.288108	-0.000013
580	-0.274947	-0.000013
581	-0.262188	-0.000012
582	-0.249108	-0.000012
583	-0.236430	-0.000011
584	-0.223108	-0.000010
585	-0.210349	-0.000009
586	-0.197671	-0.000009
587	-0.184430	-0.000008
588	-0.171188	-0.000009
589	-0.158671	-0.000008
590	-0.145591	-0.000007
591	-0.132510	-0.000007
592	-0.119994	-0.000007
593	-0.106833	-0.000007
594	-0.093510	-0.000006
595	-0.080833	-0.000005
596	-0.067510	-0.000005
597	-0.054671	-0.000005
598	-0.042396	-0.000005
599	-0.028591	-0.000005
600	-0.015913	-0.000005
601	-0.002752	-0.000004
602	0.007329	-0.000004
603	0.017329	-0.000004
604	0.026765	-0.000004
605	0.036443	-0.000003
606	0.046765	-0.000003
607	0.056845	-0.000003
608	0.067167	-0.000003
609	0.076121	-0.000003
610	0.086765	-0.000002
611	0.097167	-0.000002
612	0.107248	-0.000002
613	0.116604	-0.000002
614	0.126926	-0.000002
615	0.136926	-0.000001
616	0.147006	-0.000001
617	0.157329	-0.000001
618	0.167006	-0.000000
619	0.176765	-0.000000
620	0.186845	0.000001
621	0.197087	0.000000
622	0.206523	0.000001
623	0.216765	0.000002
624	0.226604	0.000001
625	0.236362	0.000001
626	0.246684	0.000002
627	0.256765	0.000003
628	0.266443	0.000003
629	0.276523	0.000004
630	0.286282	0.000004
631	0.296443	0.000004
632	0.305960	0.000004
633	0.315879	0.000009
634	0.326362	0.000006
635	0.336443	0.000006
636	0.346282	0.000009
637	0.356121	0.000011
638	0.366282	0.000012
639	0.375960	0.000012
640	0.384913	0.000018
641	0.393866	0.000040
642	0.404993	0.000029
643	0.414269	0.000030
