напляжение фаза 1, В	-1.400000
напляжение фаза 2, В	1.100000
количество точек фаза 1	100
количество точек фаза 2	100
длительность импульсов, us	25000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	18

номер точки	напряжение, В 	ток, А
234	-0.903964	-0.000426
235	-0.931722	-0.000443
236	-0.958595	-0.000468
237	-0.986031	-0.000487
238	-1.012823	-0.000511
239	-1.039937	-0.000533
240	-1.067454	-0.000557
241	-1.096340	-0.000532
242	-1.122005	-0.000603
243	-1.154836	-0.000476
244	-1.198055	-0.000137
245	-1.225653	-0.000152
246	-1.256874	-0.000093
247	-1.283827	-0.000118
248	-1.312149	-0.000108
249	-1.339344	-0.000108
250	-1.367344	-0.000115
251	-1.396391	-0.000120
252	-1.366780	-0.000118
253	-1.340713	-0.000122
254	-1.310619	-0.000108
255	-1.284632	-0.000079
256	-1.256954	-0.000077
257	-1.229760	-0.000076
258	-1.200793	-0.000068
259	-1.173921	-0.000086
260	-1.147370	-0.000056
261	-1.119612	-0.000049
262	-1.090887	-0.000060
263	-1.063209	-0.000059
264	-1.035209	-0.000049
265	-1.008336	-0.000054
266	-0.979934	-0.000044
267	-0.953142	-0.000033
268	-0.924336	-0.000036
269	-0.896256	-0.000036
270	-0.868578	-0.000033
271	-0.840819	-0.000031
272	-0.812980	-0.000029
273	-0.784980	-0.000028
274	-0.756900	-0.000025
275	-0.728980	-0.000026
276	-0.701222	-0.000024
277	-0.673464	-0.000023
278	-0.645383	-0.000022
279	-0.617544	-0.000020
280	-0.589544	-0.000019
281	-0.561625	-0.000018
282	-0.533786	-0.000017
283	-0.505866	-0.000016
284	-0.478108	-0.000014
285	-0.449947	-0.000013
286	-0.421947	-0.000013
287	-0.394027	-0.000013
288	-0.365947	-0.000012
289	-0.338510	-0.000011
290	-0.310430	-0.000010
291	-0.282349	-0.000009
292	-0.254188	-0.000008
293	-0.226430	-0.000007
294	-0.198269	-0.000007
295	-0.170510	-0.000007
296	-0.142913	-0.000006
297	-0.114752	-0.000006
298	-0.086671	-0.000005
299	-0.058671	-0.000005
300	-0.030671	-0.000005
301	-0.002913	-0.000004
302	0.019167	-0.000004
303	0.041087	-0.000004
304	0.063248	-0.000004
